Name,Gender,Age,MStat,PostCode,Population,NClaims,TotalClaims
RYAN LAU,M,27,M,2145,71312,1,1020.406479
ADAN FAIRCHILD,M,33,S,3037,46879,0,0
MOHAMED FORREST,M,86,S,6280,23485,0,0
LING ALMEIDA,F,17,S,4216,33735,0,0
HECTOR REISS,M,55,S,2280,26595,2,6865.770128
LAVERNE DIALLO,M,69,S,5558,4012,0,0
HOBERT CHASTAIN,M,67,S,6008,13856,0,0
TANGELA HEALY,F,63,S,2575,14031,0,0
LUCILA BAUMAN,F,83,S,2024,11078,1,2698.773933
IKE YAZZIE,M,71,S,4108,4717,1,2585.05703
DEENA COLLINS,F,29,M,2128,3163,0,0
BENTON LIMON,M,18,M,2097,14388,0,0
VALLIE KIMBALL,F,62,S,4174,2594,0,0
BRIGID HITT,F,52,S,6210,60895,0,0
ELWOOD ANTHONY,M,34,S,2000,22758,2,23643.04843
KEVEN DALTON,M,35,S,6025,29796,1,2623.397571
GENARO AHMAD,M,57,S,2324,22535,0,0
NIGEL BRUNNER,M,33,S,2481,10701,0,0
SEYMOUR CLAWSON,M,37,S,4306,31409,0,0
BELEN FORSTER,F,63,S,2070,12277,1,300
ELIJAH RENO,M,34,S,4069,33073,0,0
LLOYD GROVE,M,29,M,4184,6342,1,2371.695913
CASEY SHIELDS,M,24,M,4059,11561,0,0
MA COTTER,F,20,M,2114,21476,0,0
ANTON BERTRAM,M,34,M,4660,6753,0,0
CATHRYN VINES,F,18,M,2325,26225,0,0
THEO THAMES,M,32,S,6025,29796,1,5989.423947
PASTY WEATHERFORD,F,19,M,7008,11824,0,0
TANDRA CHESTNUT,F,89,S,2580,27112,1,2219.051958
JAN CHRISTIANSEN,F,51,S,4872,3647,0,0
DOYLE ASHLEY,M,62,S,3472,1404,1,2498.485651
MACIE PULLEN,F,26,S,3280,29966,1,4064.705145
RICH JAMIESON,M,62,S,2099,36685,1,5334.617935
SHANNON SWEARINGEN,F,26,S,5091,7343,0,0
CHRISTINA OMALLEY,F,58,S,3198,16033,1,3944.797786
TRISTAN MOJICA,M,38,S,5035,5863,1,863.356982
MOHAMMED SHERMAN,M,63,M,4221,25603,0,0
ELMO BOYLE,M,26,M,6018,34379,0,0
CANDY NOVAK,F,67,S,3030,77756,2,28227.93766
SEAN PAINE,M,25,M,2155,44028,0,0
DINORAH FAIN,F,25,S,4563,7922,0,0
EMANUEL SCHAEFER,M,44,S,3555,18409,3,22188.16551
SON MURRAY,M,53,S,2564,13375,0,0
JAY LAM,M,72,S,2612,14666,0,0
GEORGEANNA VALADEZ,F,65,S,3136,40963,0,0
SALVADOR CONWAY,M,26,M,3805,54481,0,0
HANK SUNG,M,69,S,6432,7732,0,0
EDRIS JARA,F,48,M,2162,16989,1,4488.79251
ANTONE MENCHACA,M,24,M,4074,23272,0,0
REBA FENNELL,F,17,S,3088,26464,0,0
CAROL TILLEY,M,57,S,4161,16728,0,0
MAN MOSER,M,57,M,3030,77756,2,22579.2549
DELAINE MARION,F,28,S,3337,31874,1,1248.223013
MARLYN NICKERSON,F,32,M,7009,12320,0,0
CODY LILLEY,F,60,S,4053,41786,0,0
COURTNEY BUENO,M,46,S,4717,5099,1,5004.219203
CHESTER HOLCOMBE,M,39,M,4350,102245,2,19042.33022
KELLEY PRUETT,M,56,S,2194,21218,1,7514.634989
STEFFANIE COFFIN,F,41,S,2250,65633,0,0
UN FINN,F,33,S,6151,16437,0,0
SHANDI RHEA,F,21,M,3101,23878,0,0
BRYAN TOBAR,M,54,S,2193,13988,0,0
GREG CALDERON,M,27,M,3041,11333,1,5855.163223
NORMAND ROCHA,M,79,S,2223,19806,0,0
GERRY MANN,M,52,S,3782,7770,0,0
VERONICA MATOS,F,16,S,4740,79542,0,0
LOIS ANDRES,F,21,S,6258,6308,1,1283.820853
LESTER PEASE,M,66,S,2207,27537,1,1243.554814
BRET ALLARD,M,21,M,2650,53974,0,0
MICHELINA YOUNGER,F,46,S,6317,4184,0,0
LUCIENNE PRITCHETT,F,25,M,5043,17585,0,0
ORETHA SHOEMAKER,F,33,M,2768,26462,1,8670.164283
BOB FUNK,M,28,M,2849,1600,0,0
TONI PRATER,F,37,S,4868,21454,0,0
WILBUR MCCLELLAND,M,76,S,3030,77756,1,4372.990168
ALAINE HUNDLEY,F,33,S,3747,4221,0,0
MARLYN LAWRENCE,F,68,S,3185,12222,0,0
PORTER MAESTAS,M,23,S,4034,41832,0,0
SOL SLATTERY,M,39,S,2289,18854,0,0
KIM GRABER,M,48,S,7310,27182,1,4550.60395
JUSTINA FRITZ,F,18,M,2536,17466,0,0
PERCY JONAS,M,52,S,2115,9471,0,0
LOGAN BURGESS,M,68,S,2135,23097,2,4713.309951
LUIGI KOEHLER,M,31,S,2071,12160,0,0
KIP VILLALOBOS,M,33,S,4123,16090,0,0
ELIZEBETH ZUNIGA,F,20,S,4650,32850,2,14866.33871
DESIRE GODOY,F,37,S,5112,18735,1,1031.521692
TYSON EVERS,M,47,S,2033,10962,0,0
LENARD GRIFFITHS,M,44,S,2650,53974,0,0
KATELYN GLEASON,F,16,S,3038,28159,1,12222.32598
BRITANY MARTINO,F,18,M,3181,18262,0,0
CANDELARIA CAMERON,F,20,M,2770,60345,1,2629.243949
JADE HANKS,F,69,S,3068,17268,0,0
DAHLIA GLYNN,F,86,S,2127,8144,1,15765.18925
SHELLI SWANN,F,29,M,2327,7359,0,0
ELVIS OSBURN,M,44,S,4357,2462,0,0
CARMINA LAUGHLIN,F,50,S,2229,27301,0,0
MADALENE BELTRAN,F,23,M,4670,77161,1,16556.75945
ELIZABETH SEVILLA,F,89,S,4114,33199,0,0
LINDSEY KREMER,M,64,S,2062,6782,1,3336.050725
MILO CHOWDHURY,M,29,M,2323,24735,0,0
MERISSA CAPUTO,F,61,S,4208,15753,0,0
PARKER PHUNG,M,45,S,4702,25362,1,12389.37507
BOOKER STUART,M,74,S,5051,13286,0,0
DUDLEY MALONE,M,23,M,2195,25208,0,0
MICKI PEACE,F,40,S,3977,67423,0,0
CHERRI BALES,F,29,S,2020,10178,0,0
LESIA RHOADES,F,58,S,6028,20112,1,2866.174322
GARNETT HAZEN,F,33,S,2340,45700,2,1089.667732
MYRNA BENNETT,F,22,M,3089,11504,0,0
JEAN HAN,M,20,M,3016,14748,0,0
ROSCOE BAHR,M,49,S,3023,55703,0,0
EARL KOEHLER,M,58,S,6030,37588,1,1117.338132
MANUELA FORTUNE,F,27,M,4306,31409,0,0
DAPHNE ALCALA,F,77,S,4811,11755,0,0
SUNNI CATHEY,F,43,S,2250,65633,0,0
KIP BAUMANN,M,63,S,3437,8698,0,0
ROSAMARIA HEIN,F,63,S,2177,15188,1,2496.377476
ZONIA JENSON,F,86,S,6056,37071,1,300
